question,document,score,pertinent,justification,fichier_trouve
Qu'en est il concernant les enfants en situation de handicap ?,ccpma_santé_oda_ni 2018.pdf,7.0,OUI,"Le document traite des « enfants à charge » et précise explicitement le cas des enfants en situation de handicap (définition, conditions d’âge, carte d’invalidité, constat avant 21 ans) pour l’affiliation comme ayant droit. En revanche, il ne détaille pas des garanties spécifiques liées au handicap au-delà de cette définition.",True
Qu'en est il concernant les enfants en situation de handicap ?,82468_ccpma_santé_oda_cg.pdf,7.0,OUI,"Le document traite des ayants droit et précise explicitement le cas des enfants en situation de handicap (enfants à charge sans limite d’âge s’ils perçoivent l’AAH ou y ont droit sous conditions). Il ne détaille toutefois pas des garanties spécifiques liées au handicap, seulement les conditions d’affiliation/couverture.",True
Qu'en est il concernant les enfants en situation de handicap ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,7.0,OUI,"Le document définit les “enfants à charge” et inclut explicitement les enfants en situation de handicap (sans limite d’âge sous conditions : incapacité d’exercer, carte d’invalidité, invalidité constatée avant 21 ans), ce qui aide à répondre sur leur prise en compte dans les garanties. En revanche, il ne traite pas en détail des droits/mesures spécifiques au handicap au-delà de cette définition.",True
Qu'en est il concernant les enfants en situation de handicap pour le contrat collectif ?,ccpma_santé_oda_ni 2018.pdf,9.0,OUI,Le document définit explicitement les “enfants à charge” incluant les enfants en situation de handicap (sans limite d’âge sous conditions : carte d’invalidité et invalidité constatée avant 21 ans) et précise les modalités d’affiliation des ayants droit au contrat collectif. Il apporte donc des éléments directs pour répondre à la question sur les enfants handicapés dans le cadre du contrat collectif.,True
Qu'en est il concernant les enfants en situation de handicap pour le contrat collectif ?,82468_ccpma_santé_oda_cg.pdf,9.0,OUI,"Le document définit explicitement les “enfants à charge” et inclut un cas spécifique pour les enfants en situation de handicap (infirmité empêchant toute activité rémunératrice, perception de l’AAH ou conditions d’attribution). Il précise donc directement les règles d’éligibilité/couverture des enfants handicapés dans le contrat collectif.",True
Qu'en est il concernant les enfants en situation de handicap pour le contrat collectif ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document définit explicitement les “enfants à charge” incluant les enfants en situation de handicap (sans condition d’âge, avec carte d’invalidité et invalidité constatée avant 21 ans) et mentionne les justificatifs à fournir, ce qui répond directement à la question sur le contrat collectif.",True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,ccpma_santé_oda_ni 2018.pdf,9.0,OUI,Le document définit précisément la notion d’« enfant à charge » (ayant droit) et indique la limite d’âge pour les étudiants : « moins de 26 ans s’ils sont étudiants » (Annexe 1). Cette information permet de répondre directement à la question sur l’âge jusqu’auquel un étudiant peut rester couvert via le contrat santé du parent.,True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,82468_ccpma_santé_oda_cg.pdf,9.0,OUI,"Le document définit précisément les « enfants à charge » comme ayants droit, incluant les étudiants « âgés de moins de 26 ans ». Cette information répond directement à la question sur l’âge limite pour bénéficier du contrat santé du parent (dans le cadre de ce contrat).",True
jusqu'à quel âge un étudiant peut bénéficier du contrat santé de son parent,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,8.0,OUI,"Le document définit les « enfants à charge » (ayants droit) et précise des limites d’âge, notamment « moins de 28 ans » pour les enfants poursuivant des études/apprentis/demandeurs d’emploi non indemnisés, ce qui répond directement à la question sur l’âge limite pour qu’un étudiant reste couvert par la santé du parent (dans ce régime).",True
quel est le délai de franchise de mon contrat de prévoyance,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,8.0,OUI,"Le document décrit les garanties de prévoyance et précise le point de départ d’indemnisation en arrêt de travail (1er jour AT/MP/maternité, 4e jour maladie/accident vie privée), ce qui correspond au délai de franchise. En revanche, il ne couvre pas forcément tous les cas/garanties possibles selon les options souscrites par l’employeur.",True
quel est le délai de franchise de mon contrat de prévoyance,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,8.0,OUI,"Le document contient des informations directement liées au délai de franchise en prévoyance, notamment pour l’incapacité temporaire de travail (versement des IJ complémentaires à partir du 1er jour en AT/MP/maternité et du 4e jour en maladie/accident de la vie privée). Il ne précise toutefois pas forcément toutes les franchises possibles selon d’éventuelles options ou conditions particulières.",True
quel est le délai de franchise de mon contrat de prévoyance,202207_NI_Régime d'adhésion_Prévoyance_171.pdf,9.0,OUI,"Le document indique explicitement le délai de franchise pour l’incapacité temporaire de travail : 90 jours, avec une note précisant qu’il peut être de 120/150/180 jours selon la branche professionnelle. Il définit aussi la notion de « délai de franchise » et explique les règles en cas d’arrêts successifs.",True
A partir de quel taux prenons nous en charge l'incapacité permanente professionnelle de travail?,202201_TG_CCN52 Av51_Ref131.pdf,9.0,OUI,"Le tableau « Garantie incapacité permanente de travail » précise explicitement que la prise en charge de l’incapacité permanente professionnelle intervient pour un taux d’incapacité supérieur à 66,66 %. Le document contient donc directement l’information demandée.",True
A partir de quel taux prenons nous en charge l'incapacité permanente professionnelle de travail?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit explicitement les conditions d’indemnisation de l’« incapacité permanente de travail » et précise que la prise en charge intervient notamment en cas de rente AT/MP pour un taux d’incapacité au moins égal à 66,66 %. Il contient donc directement le seuil demandé.",True
A partir de quel taux prenons nous en charge l'incapacité permanente professionnelle de travail?,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,10.0,OUI,"Le document contient explicitement la condition de prise en charge de l’incapacité permanente de travail : une rente/pension complémentaire est versée si la MSA attribue une pension d’invalidité catégorie 2 ou 3 ou une rente avec un taux d’incapacité professionnelle égal ou supérieur à 66,66%.",True
quel est le délai de franchise de mon contrat de prévoyance,202207_NI_Régime d'adhésion_Prévoyance_171.pdf,9.0,OUI,"Le document précise explicitement le délai de franchise pour l’incapacité temporaire de travail : 90 jours, avec une note indiquant qu’il peut être de 120/150/180 jours selon la branche professionnelle. Il contient aussi la définition du “délai de franchise” et les règles en cas d’arrêts successifs.",True
quel est le délai de franchise de mon contrat de prévoyance,202207_Règlement_Régime d'adhésion_Prévoyance_23.pdf,9.0,OUI,"Le document définit explicitement le « délai de franchise » et précise, pour la garantie incapacité temporaire de travail, qu’il est au minimum de 90 jours et peut être allongé jusqu’à 180 jours selon la branche professionnelle. Il ne permet toutefois pas d’identifier le délai exact applicable à “votre” contrat sans information sur la branche/option retenue.",True
quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires,202201_TG_CCN52 Av51_Ref131.pdf,8.0,OUI,"Le document contient un tableau “Garantie incapacité temporaire de travail” indiquant explicitement le point de départ des indemnités journalières complémentaires (1er jour pour AT/MP/maternité, 4e jour pour maladie/accident de la vie privée), ce qui correspond au délai de franchise. En revanche, il ne traite pas du délai de traitement d’un dossier individuel.",True
quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document décrit la garantie « incapacité temporaire de travail » et précise le point de départ du versement des indemnités journalières complémentaires (1er jour pour AT/MP/maternité, 4e jour pour maladie/accident de la vie privée), ce qui correspond au délai de franchise. Il ne traite toutefois pas d’un « dossier » individuel mais des règles générales du régime.",True
quel est le délai de franchise relatif à mon dossier d'indemnités journalières complémentaires,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document décrit explicitement le délai de franchise pour les indemnités journalières complémentaires en incapacité temporaire de travail (versement à partir du 1er jour en AT/MP/maternité, et à partir du 4e jour en maladie ou accident de la vie privée). Il contient donc l’information directement utile pour répondre à la question.",True
Le salarié va t-il percevoir directement ses indemnités journalières complémentaires,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,9.0,OUI,"Le document précise les modalités de règlement des indemnités journalières complémentaires (section 3.1.4) : en métropole elles sont versées par la MSA avec les IJ de base, et en DROM elles sont versées par l’Institution, directement au salarié ou à l’employeur en cas de subrogation. Cela répond directement à la question sur le versement “direct” au salarié.",True
Le salarié va t-il percevoir directement ses indemnités journalières complémentaires,202201_CG_CCN 52_PREV SANTE_Ref314.pdf,9.0,OUI,"Le document traite explicitement des indemnités journalières complémentaires (incapacité temporaire) et précise les modalités de règlement : en métropole elles sont réglées par la MSA, et en DROM par l’Institution, avec versement au salarié ou à l’employeur en cas de subrogation. Cela permet de répondre directement à la question sur le versement “direct” au salarié.",True
Le salarié va t-il percevoir directement ses indemnités journalières complémentaires,202207_NI_Régime d'adhésion_Prévoyance_171.pdf,6.0,OUI,"Le document décrit les indemnités journalières complémentaires (conditions, modalités, pièces justificatives) mais ne précise pas clairement si elles sont versées directement au salarié ou via l’employeur, sauf à indiquer que l’employeur transmet la demande de paiement et que le salarié fournit un RIB dans certains cas.",True
quels sont mes taux de cotisation ?,83083 Bareme des cotisations ODA RG 2021.pdf,7.0,OUI,"Le document est un barème de cotisations « frais de santé » (régime général 2021) et décrit les modalités de calcul et de prélèvement, ce qui est directement lié aux taux de cotisation. Cependant, les tableaux chiffrés semblent manquants/illisibles dans l’extrait, limitant l’accès aux taux exacts.",True
quels sont mes taux de cotisation ?,82469 Bareme de cotisation ODA RA 2021.pdf,7.0,OUI,"Le document présente le barème des cotisations « frais de santé » au 1er janvier 2021 et explique les modalités de calcul (socle/option, part employeur/salarié, base PMSS). Cependant, les tableaux de taux ne sont pas lisibles dans l’extrait fourni, ce qui limite la réponse précise aux taux exacts.",True
quels sont mes taux de cotisation ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,9.0,OUI,"Le document fournit directement le barème des cotisations au 1er janvier 2022 (prévoyance, frais de santé, APECITA) avec les taux employeur/salarié et les forfaits, ainsi que des options. Il manque seulement des éléments de contexte sur la situation de l’utilisateur (tranche, région Alsace-Moselle, options) pour déterminer “ses” taux exacts.",True
quelles sont les taux de remboursement pour le dentaire ?,82852_ccpma_sante evin_oda_tg et bar.pdf,10.0,OUI,"Le document contient une section « DENTAIRE » détaillant les niveaux de remboursement (100% Santé, soins, inlay-onlay, prothèses, orthodontie, implantologie, parodontologie) avec les taux/forfaits pour les formules Socle/Intermédiaire/Supérieur, y compris distinctions Alsace-Moselle et hors Alsace-Moselle.",True
quelles sont les taux de remboursement pour le dentaire ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document contient une section “DENTAIRE” détaillant les niveaux de remboursement (100% Santé, soins hors 100% Santé, inlay-onlay, prothèses, orthodontie, implantologie, parodontologie) avec les taux en % de BR et des forfaits annuels selon les formules. Il permet donc de répondre directement à la question sur les taux de remboursement dentaire.",True
quelles sont les taux de remboursement pour le dentaire ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le document contient une section “DENTAIRE” détaillant les niveaux de remboursement (100% Santé, soins hors 100% Santé, inlay-onlay, prothèses, orthodontie, implantologie, parodontologie) avec les taux en % BR et des forfaits annuels selon les formules. Il permet donc de répondre directement à la question sur les taux de remboursement dentaire.",True
Quels sont tous les barèmes de cotisations possibles ?,82852_ccpma_sante evin_oda_tg et bar.pdf,9.0,OUI,"Le document contient explicitement des « barèmes de cotisations » (en % du PMSS) pour plusieurs configurations : régime agricole et régime général, hors/Alsace-Moselle, adulte/enfant, et niveaux Socle/Intermédiaire/Supérieur (cotisation additionnelle et globale). Il ne couvre toutefois que les barèmes applicables à compter du 1er janvier 2020 pour ce contrat précis.",True
Quels sont tous les barèmes de cotisations possibles ?,83083 Bareme des cotisations ODA RG 2021.pdf,6.0,OUI,"Le document présente un barème de cotisations « régime général 2021 » pour le régime frais de santé des Organismes de Développement Agricole, avec modalités et structures (uniforme, isolé/famille, adulte/enfant). En revanche, les tableaux chiffrés des barèmes ne sont pas lisibles dans l’extrait fourni, et il ne couvre pas nécessairement « tous » les barèmes possibles au-delà de ce régime/année.",True
Quels sont tous les barèmes de cotisations possibles ?,82469 Bareme de cotisation ODA RA 2021.pdf,6.0,OUI,"Le document présente un barème de cotisations « frais de santé » pour le régime agricole ODA en 2021, avec modalités de calcul et niveaux (Socle/Intermédiaire/Supérieur) selon la composition familiale. En revanche, il ne couvre pas « tous les barèmes de cotisations possibles » de manière générale (seulement un régime/année, et les tableaux de taux ne sont pas lisibles dans l’extrait).",True
peux tu donner tous les baremes pour chaque tranche ?,83083 Bareme des cotisations ODA RG 2021.pdf,6.0,OUI,"Le document présente un barème de cotisations « frais de santé » 2021 et explique les modalités de calcul selon la composition familiale et les niveaux (Socle/Intermédiaire/Supérieur). En revanche, les tableaux chiffrés par tranche ne sont pas lisibles dans l’extrait fourni, ce qui limite la capacité à donner “tous les barèmes pour chaque tranche”.",True
peux tu donner tous les baremes pour chaque tranche ?,82469 Bareme de cotisation ODA RA 2021.pdf,6.0,OUI,"Le document traite d’un « barème des cotisations régime agricole 2021 » et explique les modalités (socle/intermédiaire/supérieur, isolé/famille, % PMSS), ce qui est lié à la demande de barèmes par tranche. Cependant, les tableaux chiffrés semblent manquants/illisibles dans l’extrait (images non exploitées), donc il ne permet pas de donner « tous les barèmes pour chaque tranche » de façon complète.",True
peux tu donner tous les baremes pour chaque tranche ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,8.0,OUI,"Le document fournit des barèmes de cotisations par tranches (TA, TB, TC) avec parts employeur/salarié et totaux, ainsi que la définition des tranches. Il ne couvre toutefois pas “tous les barèmes” possibles au-delà de ce régime (certaines rubriques sont optionnelles ou à compléter).",True
quels sont les parts employeur et salarié de cotisations ?,83083 Bareme des cotisations ODA RG 2021.pdf,6.0,OUI,"Le document indique que le financement est conjoint employeur/salarié et précise au moins la règle des 50% minimum à la charge de l’employeur pour le « Socle ». En revanche, les tableaux chiffrés des parts employeur/salarié ne sont pas lisibles dans l’extrait fourni, donc il ne permet pas de donner les taux/montants exacts.",True
quels sont les parts employeur et salarié de cotisations ?,82469 Bareme de cotisation ODA RA 2021.pdf,7.0,OUI,"Le document explique le principe de financement employeur/salarié (minimum 50% employeur sur le « Socle ») et traite des cotisations frais de santé 2021. En revanche, les tableaux chiffrés détaillant précisément les parts employeur et salarié ne sont pas lisibles dans l’extrait fourni.",True
quels sont les parts employeur et salarié de cotisations ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,9.0,OUI,"Le document présente explicitement les taux et montants de cotisations avec la ventilation « part employeur » et « part salariale » (prévoyance, frais de santé, APECITA) par tranches. Il permet donc de répondre directement à la question sur les parts employeur/salarié, même si cela concerne le cadre spécifique de la CCN 1952 (avenant 51) et une date donnée (01/01/2022).",True
Quels sont les cas de dispense pour les salariés non-cadre et cadre ?,ccpma_santé_oda_ni 2018.pdf,6.0,OUI,"Le document traite des « cas de dispense d’affiliation » (article 2.1.2) au régime frais de santé, ce qui est directement lié à la question. En revanche, il ne distingue pas explicitement les dispenses selon salariés non-cadres vs cadres, et renvoie surtout à l’article R.242-1-6 du CSS sans lister les cas dans l’extrait fourni.",True
Quels sont les cas de dispense pour les salariés non-cadre et cadre ?,82468_ccpma_santé_oda_cg.pdf,6.0,OUI,"Le document contient un article dédié aux « dispenses d’affiliation » (art. 2.7) décrivant le principe et le renvoi aux cas légaux (R.242-1-6 CSS), mais il ne détaille pas explicitement la liste des cas ni une distinction spécifique entre salariés non-cadres et cadres.",True
Quels sont les cas de dispense pour les salariés non-cadre et cadre ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,7.0,OUI,"Le document détaille explicitement les cas de dispense d’affiliation à la garantie frais de santé (CDD/apprentis, temps partiel, CSS/ACS, couverture individuelle ou collective, etc.). En revanche, il concerne surtout les ingénieurs et cadres (AGIRC) et ne traite pas clairement des dispenses spécifiques aux salariés non-cadres.",True
quelle est la part employeur dans le bareme de cotisation ?,83083 Bareme des cotisations ODA RG 2021.pdf,7.0,OUI,"Le document indique explicitement que le financement est conjoint employeur/salarié et que l’employeur doit prendre en charge au minimum 50% de la cotisation du « Socle » seul. En revanche, il ne fournit pas un barème chiffré détaillant la part employeur pour chaque niveau/option dans l’extrait visible.",True
quelle est la part employeur dans le bareme de cotisation ?,82469 Bareme de cotisation ODA RA 2021.pdf,7.0,OUI,"Le document indique explicitement que le financement est conjoint employeur/salarié et que l’employeur doit prendre en charge au minimum 50% de la cotisation du « Socle » seul. En revanche, les tableaux chiffrés détaillant la répartition exacte semblent manquants/illisibles dans l’extrait fourni.",True
quelle est la part employeur dans le bareme de cotisation ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,9.0,OUI,"Le document présente explicitement les barèmes de cotisations avec des colonnes “Part employeur”, “Part salariale” et “Total” (prévoyance, frais de santé, APECITA) à compter du 1er janvier 2022, ce qui permet de répondre directement à la question sur la part employeur.",True
quel sont les taux de cotisation pour la prévoyance ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,9.0,OUI,"Le document fournit directement le barème des cotisations de prévoyance (parts employeur/salarié et totaux) par tranches de salaire à compter du 1er janvier 2022, ainsi que des taux pour des garanties optionnelles. Il permet donc de répondre précisément à la question sur les taux de cotisation prévoyance.",True
quel sont les taux de cotisation pour la prévoyance ?,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf,10.0,OUI,"Le document contient directement le barème des cotisations prévoyance au 1er janvier 2022, avec les taux par tranche (A et B-C) et la répartition employeur/salarié ainsi que le total.",True
quel sont les taux de cotisation pour la prévoyance ?,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf,9.0,OUI,"Le document contient un tableau explicite des cotisations prévoyance (part employeur, part salariale et total) par tranches A et B-C, avec les modalités de calcul. Il répond directement à la question sur les taux de cotisation.",True
Quel est le délégataire de gestion du contrat santé ?,83856_ccpma_sante evin_oda_cg ni .pdf,10.0,OUI,"Le document contient une section explicite « Délégation de gestion » indiquant le délégataire de gestion (MSA pour le régime agricole ou CCMO Mutuelle pour le régime général), ce qui répond directement à la question.",True
Quel est le délégataire de gestion du contrat santé ?,ccpma_santé_oda_ni 2018.pdf,10.0,OUI,"Le document contient explicitement l’« ARTICLE 1.3 : Délégation de gestion » indiquant que la gestion est déléguée à la MSA (et à CCMO Mutuelle pour les entreprises relevant du Régime Général), ce qui répond directement à la question sur le délégataire de gestion du contrat santé.",True
Quel est le délégataire de gestion du contrat santé ?,82468_ccpma_santé_oda_cg.pdf,10.0,OUI,Le document contient explicitement l’ARTICLE 1.4 « Délégation de gestion » qui indique à qui est délégué le paiement/gestion des prestations (CMSA ou CCMO Mutuelle selon le régime). Cela répond directement à la question sur le délégataire de gestion du contrat santé.,True
Comment sont réparties les cotisations que je dois prélever à mon salarié concernant le décès ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,8.0,OUI,"Le document fournit les taux de cotisations de prévoyance avec la répartition part employeur/part salariale par tranches, ainsi que des options « Capital Décès » avec leurs taux. Il ne détaille toutefois pas explicitement la part salariale spécifique au risque décès dans le régime de base (hors options).",True
Comment sont réparties les cotisations que je dois prélever à mon salarié concernant le décès ?,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf,8.0,OUI,"Le document fournit le barème des cotisations de prévoyance avec la répartition part employeur/part salariale par tranches (A et B-C), ce qui permet de déterminer la part à prélever au salarié. Il ne détaille toutefois pas une répartition spécifique à la seule garantie décès (les taux semblent globaux “prévoyance”).",True
Comment sont réparties les cotisations que je dois prélever à mon salarié concernant le décès ?,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf,8.0,OUI,"Le document fournit le barème des cotisations de prévoyance avec la répartition part employeur/part salariale par tranches (A et B-C), ce qui permet d’identifier la part à prélever au salarié. En revanche, il ne détaille pas spécifiquement la ventilation des cotisations uniquement pour la garantie décès (les taux semblent globaux prévoyance).",True
Quelle est la part de cotisations que je dois prélever à mon salarié concernant le décès ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,8.0,OUI,"Le document fournit des barèmes de cotisations avec distinction « part salariale » et « part employeur » pour la prévoyance, ainsi que des taux pour l’option « Capital Décès ». Il ne précise toutefois pas explicitement, pour la garantie décès de base, la ligne exacte à utiliser ni si le décès est inclus dans la prévoyance obligatoire ou seulement en option.",True
Quelle est la part de cotisations que je dois prélever à mon salarié concernant le décès ?,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf,8.0,OUI,"Le document fournit le barème des cotisations de prévoyance avec la part salariale à prélever (0,51% en tranche A et 0,70% en tranches B-C). Il ne détaille pas un taux spécifique “décès” isolé, mais la cotisation couvre la prévoyance incluant la garantie décès.",True
Quelle est la part de cotisations que je dois prélever à mon salarié concernant le décès ?,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf,8.0,OUI,"Le document contient un tableau des cotisations prévoyance avec la part salariale (0,58% en tranche A et 0,81% en tranches B-C), utile pour déterminer ce qui doit être prélevé. En revanche, il ne détaille pas explicitement la part spécifique au seul risque “décès” (les taux semblent globaux prévoyance).",True
Quelle est la part de cotisations que je dois prélever à mon salarié non cadre concernant le décès ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,7.0,OUI,"Le document fournit un barème de cotisations prévoyance avec une ventilation part employeur/part salariale, ce qui permet d’identifier la part à prélever au salarié. En revanche, il ne précise pas explicitement une ligne “décès” obligatoire pour les non-cadres (le décès apparaît surtout dans les offres optionnelles), donc la réponse peut nécessiter une interprétation ou un autre document.",True
Quelle est la part de cotisations que je dois prélever à mon salarié non cadre concernant le décès ?,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf,8.0,OUI,"Le document fournit le barème des cotisations prévoyance avec la part salariale à précompter (0,51% en tranche A et 0,70% en tranches B-C). Il ne détaille toutefois pas spécifiquement la part dédiée uniquement à la garantie décès, mais un taux global prévoyance.",True
Quelle est la part de cotisations que je dois prélever à mon salarié non cadre concernant le décès ?,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf,8.0,OUI,"Le document contient un tableau des cotisations avec la part salariale (0,58% en tranche A et 0,81% en tranches B-C) pour le régime de prévoyance incluant la garantie décès. En revanche, il ne détaille pas une cotisation spécifique “décès” séparée des autres garanties.",True
Quelle est la part de cotisations que je dois prélever à aux ouvriers de mon entreprise concernant le décès ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,8.0,OUI,"Le document fournit des barèmes de cotisations prévoyance avec la répartition part employeur/part salariale et mentionne des options « Capital Décès » avec des taux. Il permet donc d’identifier la part à prélever au salarié, même si la part salariale spécifique au décès obligatoire n’est pas explicitement isolée hors options.",True
Quelle est la part de cotisations que je dois prélever à aux ouvriers de mon entreprise concernant le décès ?,202201_TG Barème cotisations_Régime d'adhésion Ch.Agriculture_Prévoyance_113.pdf,8.0,OUI,"Le document fournit un barème de cotisations prévoyance avec la “part salariale” à prélever (0,51% en tranche A et 0,70% en tranches B-C), ce qui permet de répondre sur le prélèvement. En revanche, il ne détaille pas une cotisation spécifique “décès” séparée des autres garanties prévoyance.",True
Quelle est la part de cotisations que je dois prélever à aux ouvriers de mon entreprise concernant le décès ?,202401_TG Barèmes_Régime Adhésion_Prévoyance_1070.pdf,8.0,OUI,"Le document fournit les taux de cotisations de prévoyance avec la part salariale à prélever (0,58% en tranche A et 0,81% en tranches B-C). Il ne détaille pas une cotisation spécifique “décès” séparée, mais inclut le décès dans le régime de prévoyance global.",True
A partir de quelle ancienneté mon salarié cotise à la retraite supplémentaire ?,202201_BAREME_CCN 52_PREV SANTE RETRAITE SUPPL_Ref125.pdf,2.0,NON,Le document détaille les taux et modalités de calcul des cotisations (prévoyance/santé/retraite supplémentaire) mais ne précise pas à partir de quelle ancienneté un salarié commence à cotiser à la retraite supplémentaire. Aucune condition d’ancienneté ou date d’affiliation n’y est indiquée.,True
A partir de quelle ancienneté mon salarié cotise à la retraite supplémentaire ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,3.0,NON,"Le document traite surtout de prévoyance et de frais de santé, et précise que pour la retraite supplémentaire il faut se référer à une autre notice. Il ne donne pas l’ancienneté à partir de laquelle un salarié commence à cotiser à la retraite supplémentaire.",True
quelles sont les différentes prestations pour l'hospitalisation,82852_ccpma_sante evin_oda_tg et bar.pdf,8.0,OUI,"Le document contient une section « HOSPITALISATION » détaillant les prestations (frais de séjour, honoraires, forfait actes lourds, forfait journalier, chambre particulière, lit d’accompagnant, etc.) avec niveaux de remboursement. Il s’agit toutefois d’un tableau de garanties d’un contrat spécifique (Santé Évin ODA) et non d’une liste générale de toutes les prestations d’hospitalisation.",True
quelles sont les différentes prestations pour l'hospitalisation,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document contient une rubrique « HOSPITALISATION » détaillant les différentes prestations (frais de séjour, honoraires, forfait actes lourds, forfait journalier, chambre particulière, lit d’accompagnant, PMA) et leurs niveaux de remboursement selon les formules. Il est donc directement utile pour répondre à la question.",True
quelles sont les différentes prestations pour l'hospitalisation,82470 - ODA_Tableau de garanties_AM 2020.pdf,9.0,OUI,"Le document contient une rubrique « HOSPITALISATION » détaillant les différentes prestations (frais de séjour, honoraires, forfait actes lourds, forfait journalier, chambre particulière, lit d’accompagnant, PMA) et leurs niveaux de remboursement selon les formules. Il est donc directement utile pour répondre à la question.",True
quelle est la liste des toutes les garanties santé ?,82471 - ODA_Tableau de garanties_HAM 2020.pdf,9.0,OUI,"Le document est un “Tableau des garanties santé 2020” détaillant les postes de garanties (soins courants, hospitalisation, optique, dentaire, aides auditives, cures thermales, divers, etc.) et leurs niveaux de remboursement. Il permet donc d’établir la liste des garanties santé couvertes, même si elle est spécifique à ce contrat (ODA 2020 hors Alsace-Moselle).",True
quelle est la liste des toutes les garanties santé ?,82470 - ODA_Tableau de garanties_AM 2020.pdf,8.0,OUI,"Le document est un “tableau des garanties santé 2020” détaillant les postes de garanties (soins courants, hospitalisation, optique, dentaire, aides auditives, cures thermales, divers) et leurs niveaux de remboursement. Il répond donc largement à une demande de liste des garanties, même s’il est spécifique à un contrat (ODA Alsace-Moselle 2020) et pas une liste universelle.",True
quelle est la liste des toutes les garanties santé ?,ccpma_santé_oda_ni 2018.pdf,8.0,OUI,"Le document contient un tableau détaillé des garanties frais de santé (socle/intermédiaire/supérieur) et des garanties d’assistance, ce qui permet d’établir une liste des garanties couvertes. En revanche, il s’agit des garanties d’un contrat spécifique (ODA/CCPMA 2018) et non d’une liste universelle de “toutes” les garanties santé existantes.",True
Quels sont les documents à adresser pour la complétude d'un dossier de portabilité santé ?,ccpma_santé_oda_ni 2018.pdf,7.0,OUI,"Le document contient un article dédié à la « Portabilité des droits » (4.9) précisant les justificatifs à fournir (certificat de travail, attestation de prise en charge chômage, attestations mensuelles Pôle emploi), utiles pour la complétude d’un dossier de portabilité santé. En revanche, il ne liste pas de façon exhaustive tous les documents possibles selon les situations, car c’est une notice générale de garanties.",True
Quels sont les documents à adresser pour la complétude d'un dossier de portabilité santé ?,202201_NI_CCN 52_PREV SANTE_Ref31.pdf,8.0,OUI,"Le document contient une section dédiée à la portabilité (Titre 5) précisant les justificatifs à fournir pour bénéficier de la portabilité (certificat de travail, attestation de prise en charge chômage, attestations mensuelles Pôle emploi). Il ne liste toutefois pas un “dossier de portabilité santé” complet au sens administratif global, mais apporte des éléments directement utiles.",True
A qui adresser les documents de portabilité ?,ccpma_santé_oda_ni 2018.pdf,8.0,OUI,"Le document contient un article dédié à la « Portabilité des droits » (art. 4.9) précisant que les justificatifs doivent être adressés à CCPMA PRÉVOYANCE, avec des coordonnées postales disponibles. Il ne détaille toutefois pas une procédure unique d’envoi des « documents de portabilité » via l’employeur ou un service spécifique, ce qui limite légèrement la réponse.",True
